asr_rank,checkpoint,configuration,seed,mean_wer,median_wer,mean_cer,median_cer,mean_word_accuracy,mean_character_accuracy,evaluated_samples,combined_error_score
1,2500,focused,4107,0.5851587301587301,0.6,0.3335346215780998,0.3333333333333333,0.4148412698412699,0.6664653784219002,5,0.45934667586841493
2,3000,greedy,3407,0.6481746031746032,0.6,0.34286634460547505,0.30434782608695654,0.3518253968253968,0.657133655394525,5,0.4955204738900391
3,3000,greedy,4107,0.6481746031746032,0.6,0.34286634460547505,0.30434782608695654,0.3518253968253968,0.657133655394525,5,0.4955204738900391
4,3000,greedy,5107,0.6481746031746032,0.6,0.34286634460547505,0.30434782608695654,0.3518253968253968,0.657133655394525,5,0.4955204738900391
5,3000,focused,4107,0.6187301587301588,0.5714285714285714,0.40967793880837355,0.35555555555555557,0.38126984126984126,0.5903220611916263,5,0.5142040487692662
6,2500,moderate,5107,0.6573015873015873,0.7142857142857143,0.37176328502415457,0.391304347826087,0.3426984126984127,0.6282367149758454,5,0.5145324361628709
7,2750,focused,3407,0.6937301587301588,0.8,0.3835829307568438,0.34782608695652173,0.30626984126984125,0.6164170692431562,5,0.5386565447435012
8,3000,moderate,3407,0.6937301587301588,0.8,0.3933977455716586,0.391304347826087,0.30626984126984125,0.6066022544283414,5,0.5435639521509087
9,3000,focused,3407,0.7166666666666666,0.75,0.3921256038647343,0.4,0.2833333333333333,0.6078743961352657,5,0.5543961352657004
10,2750,focused,4107,0.7087301587301587,0.75,0.40335748792270537,0.35555555555555557,0.2912698412698413,0.5966425120772947,5,0.556043823326432
11,2500,focused,5107,0.748015873015873,0.875,0.3684219001610306,0.35555555555555557,0.251984126984127,0.6315780998389695,5,0.5582188865884519
12,2750,greedy,3407,0.7566666666666666,0.75,0.36847020933977453,0.30434782608695654,0.32333333333333336,0.6315297906602255,5,0.5625684380032205
13,2750,greedy,4107,0.7566666666666666,0.75,0.36847020933977453,0.30434782608695654,0.32333333333333336,0.6315297906602255,5,0.5625684380032205
14,2750,greedy,5107,0.7566666666666666,0.75,0.36847020933977453,0.30434782608695654,0.32333333333333336,0.6315297906602255,5,0.5625684380032205
15,2500,moderate,3407,0.7495238095238095,0.7142857142857143,0.40438808373590984,0.36231884057971014,0.2904761904761905,0.5956119162640902,5,0.5769559466298597
16,2750,moderate,3407,0.713015873015873,0.6428571428571429,0.4464251207729468,0.4057971014492754,0.326984126984127,0.5535748792270532,5,0.5797204968944099
17,2500,moderate,4107,0.7753968253968254,0.75,0.4077053140096618,0.4222222222222222,0.2646031746031746,0.5922946859903382,5,0.5915510697032436
18,2500,greedy,3407,0.7925396825396825,0.8,0.4192995169082126,0.4782608695652174,0.20746031746031743,0.5807004830917875,5,0.6059195997239476
19,2500,greedy,4107,0.7925396825396825,0.8,0.4192995169082126,0.4782608695652174,0.20746031746031743,0.5807004830917875,5,0.6059195997239476
20,2500,greedy,5107,0.7925396825396825,0.8,0.4192995169082126,0.4782608695652174,0.20746031746031743,0.5807004830917875,5,0.6059195997239476
21,2750,moderate,5107,0.7817460317460317,0.75,0.457085346215781,0.43478260869565216,0.25825396825396824,0.542914653784219,5,0.6194156889809064
22,2500,focused,3407,0.8322222222222223,0.75,0.4165217391304347,0.3111111111111111,0.3277777777777778,0.5834782608695652,5,0.6243719806763285
23,2750,moderate,4107,0.803015873015873,0.75,0.44752818035426734,0.4444444444444444,0.276984126984127,0.5524718196457327,5,0.6252720266850702
24,2750,focused,5107,0.7595238095238095,0.75,0.49553945249597425,0.4,0.28047619047619043,0.5192753623188405,5,0.6275316310098918
25,3000,focused,5107,0.8110317460317461,0.7857142857142857,0.45772946859903385,0.4492753623188406,0.22896825396825396,0.5422705314009661,5,0.6343806073153899
26,3000,moderate,5107,0.8146825396825397,0.875,0.4780676328502416,0.5333333333333333,0.1853174603174603,0.5219323671497584,5,0.6463750862663906
27,3000,moderate,4107,0.8138095238095238,0.7857142857142857,0.5254347826086956,0.4666666666666667,0.2261904761904762,0.47456521739130436,5,0.6696221532091097
