target_word,occurrences,correct_count,substitution_count,deletion_count,correct_rate,error_rate
ऑर्डर,54,0,53,1,0.0,1.0
अगले,27,0,27,0,0.0,1.0
कृपया,27,0,26,1,0.0,1.0
जमा,27,0,26,1,0.0,1.0
जाएगा,27,0,27,0,0.0,1.0
दिवसों,27,0,27,0,0.0,1.0
धन्यवाद,27,0,24,3,0.0,1.0
पाँच,27,0,27,0,0.0,1.0
बताइए,27,0,27,0,0.0,1.0
रिफंड,27,0,19,8,0.0,1.0
शुभ,27,0,21,6,0.0,1.0
सफलतापूर्वक,27,0,27,0,0.0,1.0
सहायता,27,0,26,1,0.0,1.0
हो,27,0,27,0,0.0,1.0
नमस्ते,27,1,26,0,0.037037037037037035,0.962962962962963
भेज,27,1,26,0,0.037037037037037035,0.962962962962963
नंबर,27,6,21,0,0.2222222222222222,0.7777777777777778
कार्य,27,9,18,0,0.3333333333333333,0.6666666666666667
सकता,27,11,15,1,0.4074074074074074,0.5925925925925926
आपकी,27,16,11,0,0.5925925925925926,0.40740740740740744
आपका,81,50,21,10,0.6172839506172839,0.3827160493827161
दिन,27,17,10,0,0.6296296296296297,0.37037037037037035
अपना,27,19,8,0,0.7037037037037037,0.2962962962962963
आपके,27,19,8,0,0.7037037037037037,0.2962962962962963
हूँ,27,19,8,0,0.7037037037037037,0.2962962962962963
कर,54,41,12,1,0.7592592592592593,0.2407407407407407
खाते,27,22,5,0,0.8148148148148148,0.18518518518518523
है,27,23,4,0,0.8518518518518519,0.14814814814814814
दिया,54,48,6,0,0.8888888888888888,0.11111111111111116
मैं,27,24,3,0,0.8888888888888888,0.11111111111111116
में,54,52,2,0,0.9629629629629629,0.03703703703703709
और,27,27,0,0,1.0,0.0
किसी,27,27,0,0,1.0,0.0
क्या,27,27,0,0,1.0,0.0
गया,27,27,0,0,1.0,0.0
